"Name","ID","Subtask","HierarchyLevel","Scope","ProjectID"
"Sub-Task","5",true,-1,"GLOBAL","—"
"Subtask","11195",true,-1,"PROJECT","15698"
"Sub-task","12792",true,-1,"PROJECT","17808"
"Sub-task","11199",true,-1,"PROJECT","15700"
"Sub-task","11167",true,-1,"PROJECT","15673"
"Sub-task","11201",true,-1,"PROJECT","15701"
"Sub-task","11234",true,-1,"PROJECT","15883"
"Sub-task","14260",true,-1,"PROJECT","19042"
"Sub-task","11197",true,-1,"PROJECT","15699"
"Sub-task","11203",true,-1,"PROJECT","15702"
"Design Sub-task","11227",true,-1,"GLOBAL","—"
"Sub-task","11163",true,-1,"PROJECT","15666"
"Sub-task","11222",true,-1,"PROJECT","15713"
"Subtask","11490",true,-1,"PROJECT","16310"
"Sub-task","11171",true,-1,"PROJECT","15674"
"Sub-task","11173",true,-1,"PROJECT","15680"
"Sub-task","11217",true,-1,"PROJECT","15711"
"Sub-task","11165",true,-1,"PROJECT","15668"
"Sub-Test","10",true,-1,"GLOBAL","—"
"Sub-task","11189",true,-1,"PROJECT","15696"
"Sub Test Execution","11213",true,-1,"GLOBAL","—"
"Dive Sub-task","11230",true,-1,"GLOBAL","—"
"Sub-task","12758",true,-1,"PROJECT","17774"
"Bug","1",false,0,"GLOBAL","—"
"Task","3",false,0,"GLOBAL","—"
"Test Case","7",false,0,"GLOBAL","—"
"Test","11208",false,0,"GLOBAL","—"
"Test Execution","11211",false,0,"GLOBAL","—"
"Novel","11229",false,0,"GLOBAL","—"
"PM Task","11225",false,0,"GLOBAL","—"
"Service Request with optional approval step","12654",false,0,"GLOBAL","—"
"Ask a question","11157",false,0,"GLOBAL","—"
"DR System Request","12993",false,0,"GLOBAL","—"
"Code Freeze Override","11257",false,0,"GLOBAL","—"
"Story","13192",false,0,"PROJECT","17774"
"Task","11164",false,0,"PROJECT","15668"
"Idea","13159",false,0,"PROJECT","17975"
"Idea","11161",false,0,"PROJECT","15654"
"Idea","11148",false,0,"PROJECT","15614"
"Task","11193",false,0,"PROJECT","15698"
"Idea","12723",false,0,"PROJECT","17740"
"Task","11488",false,0,"PROJECT","16310"
"General request","11214",false,0,"GLOBAL","—"
"Task","12757",false,0,"PROJECT","17774"
"Task","12791",false,0,"PROJECT","17808"
"Story","12894",false,0,"PROJECT","17808"
"Idea","14261",false,0,"PROJECT","19043"
"Story","14295",false,0,"PROJECT","19042"
"Phase","12858",false,0,"PROJECT","17707"
"Program","12689",false,0,"PROJECT","17707"
"test","13026",false,0,"PROJECT","17740"
"Idea","12621",false,0,"PROJECT","17707"
"Project","12690",false,0,"PROJECT","17707"
"Task","11162",false,0,"PROJECT","15666"
"Task","11170",false,0,"PROJECT","15674"
"Tenable Vulnerability","11521",false,0,"GLOBAL","—"
"Story","11176",false,0,"PROJECT","15680"
"Change Request","11177",false,0,"PROJECT","15673"
"Request AWS Product","11141",false,0,"GLOBAL","—"
"Task","11166",false,0,"PROJECT","15673"
"Research","11169",false,0,"PROJECT","15673"
"Task","11188",false,0,"PROJECT","15696"
"Research","11175",false,0,"PROJECT","15680"
"[System] Post-incident review","11184",false,0,"GLOBAL","—"
"Task","11200",false,0,"PROJECT","15701"
"Task","11196",false,0,"PROJECT","15699"
"Task","11198",false,0,"PROJECT","15700"
"Bug","11223",false,0,"PROJECT","15680"
"Insight","11233",false,0,"PROJECT","15883"
"Task","11172",false,0,"PROJECT","15680"
"Evidence Request","11205",false,0,"GLOBAL","—"
"Bug","11219",false,0,"PROJECT","15711"
"Story","11220",false,0,"PROJECT","15711"
"Task","11216",false,0,"PROJECT","15711"
"Task","11221",false,0,"PROJECT","15713"
"Corrective Action","11206",false,0,"GLOBAL","—"
"Risk Treatment Request","11207",false,0,"GLOBAL","—"
"Idea","12960",false,0,"PROJECT","17808"
"Bug","11587",false,0,"PROJECT","15702"
"Key Initiatives","12688",false,0,"PROJECT","17707"
"Task","11202",false,0,"PROJECT","15702"
"Dive","11224",false,0,"GLOBAL","—"
"Technical Story","11228",false,0,"GLOBAL","—"
"Story","11204",false,0,"PROJECT","15702"
"Incident","11108",false,0,"GLOBAL","—"
"Task","14259",false,0,"PROJECT","19042"
"Initiative","11356",false,0,"PROJECT","16079"
"Portfolio","12687",false,0,"PROJECT","17707"
"Enablement Task","13225",false,0,"PROJECT","16079"
"Change","10402",false,0,"GLOBAL","—"
"Research/Spike","10107",false,0,"GLOBAL","—"
"Story","12",false,0,"GLOBAL","—"
"Submit a request or incident","11112",false,0,"GLOBAL","—"
"Service Request with 1-Step Approval","11110",false,0,"GLOBAL","—"
"Feature","13126",false,0,"PROJECT","16079"
"Service Request","11109",false,0,"GLOBAL","—"
"Problem","11111",false,0,"GLOBAL","—"
"Emailed request","11114",false,0,"GLOBAL","—"
"[System] Service request","11136",false,0,"GLOBAL","—"
"[System] Service request with approvals","11137",false,0,"GLOBAL","—"
"[System] Change","11138",false,0,"GLOBAL","—"
"[System] Problem","11139",false,0,"GLOBAL","—"
"[System] Incident","11135",false,0,"GLOBAL","—"
"Asset","11154",false,0,"GLOBAL","—"
"Improvement","11226",false,0,"GLOBAL","—"
"Design Story","11231",false,0,"GLOBAL","—"
"Compliance","11232",false,0,"GLOBAL","—"
"Tenable Vulnerability Host","11423",false,0,"GLOBAL","—"
"Service Request with 3-Step (1-Approval) Approval","11155",false,0,"GLOBAL","—"
"Service Request with 3-Step (2-Approval) Approval","11147",false,0,"GLOBAL","—"
"Service Request with 2-Step Approval","11140",false,0,"GLOBAL","—"
"Deploy Equipment Request","11185",false,0,"GLOBAL","—"
"Return Equipment Request","11186",false,0,"GLOBAL","—"
"Service Request with 4-Step Approval","11554",false,0,"GLOBAL","—"
"Replace Equipment Request","11187",false,0,"GLOBAL","—"
"Simple Approval Request","11323",false,0,"GLOBAL","—"
"Company Risk Acceptance Request","11389",false,0,"GLOBAL","—"
"Precondition","11212",false,0,"GLOBAL","—"
"Test Set","11209",false,0,"GLOBAL","—"
"Test Plan","11210",false,0,"GLOBAL","—"
"Epic","13",false,1,"GLOBAL","—"
"Risk","13093",false,1,"GLOBAL","—"
"Planning","12927",false,1,"GLOBAL","—"
"Epic","12756",false,1,"PROJECT","17774"
"Epic","11174",false,1,"PROJECT","15680"
"New Campaign Creation","11168",false,1,"PROJECT","15673"
"Epic","11194",false,1,"PROJECT","15698"
"Epic","11218",false,1,"PROJECT","15711"
"Epic","11489",false,1,"PROJECT","16310"
"Epic","11455",false,1,"PROJECT","15702"
"Epic","14294",false,1,"PROJECT","19042"
"Epic","12825",false,1,"PROJECT","17808"
"Initiative","11000",false,2,"GLOBAL","—"
